age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
63.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
,Irregular,Heavy,,Mediterranean,Sour
64.0,Night Owl,Moderate,Dry,Asian,Sweet
65.0,Night Owl,Moderate,Tropical,Mixed,Sweet
40.0,Early Bird,Light,Dry,Mixed,Sour
62.0,Early Bird,Moderate,Cold,Mediterranean,Salty
34.0,,Light,Temperate,Asian,Sweet
57.0,Irregular,Moderate,Dry,Mediterranean,Salty
38.0,Irregular,Heavy,Tropical,Mediterranean,Sour
19.0,Early Bird,Light,Cold,Asian,Sweet
54.0,Night Owl,Moderate,Tropical,Asian,Sweet
23.0,,Light,Cold,Mixed,Sweet
61.0,,Light,Temperate,Mixed,Sweet
35.0,Night Owl,Light,Cold,Mediterranean,Sweet
47.0,Early Bird,Heavy,Cold,Mediterranean,Salty
39.0,Irregular,Moderate,Temperate,Mixed,Salty
50.0,Early Bird,Moderate,Temperate,Asian,Sour
47.0,Night Owl,Light,Cold,Mediterranean,Sweet
34.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
,Irregular,Heavy,Dry,Asian,Sour
49.0,Irregular,Light,Tropical,Mediterranean,Sweet
,Night Owl,Heavy,Dry,Asian,Sweet
68.0,Early Bird,Heavy,Temperate,Mixed,Salty
31.0,Irregular,Moderate,Tropical,Mixed,Sour
27.0,Early Bird,Moderate,Temperate,Mixed,Sour
64.0,Irregular,Light,Cold,Mixed,Sour
68.0,Night Owl,Heavy,Cold,Mixed,Sour
53.0,Night Owl,Moderate,Tropical,,Sweet
51.0,Early Bird,,Temperate,Mixed,Sour
26.0,Night Owl,Light,Tropical,,Spicy
59.0,Irregular,,Tropical,Mediterranean,Sour
45.0,Night Owl,Heavy,Dry,Asian,Sweet
28.0,,,Cold,Mediterranean,Sweet
31.0,Irregular,Moderate,Tropical,Mediterranean,Sour
,Night Owl,Light,Cold,Mixed,Sweet
,Irregular,Moderate,,Mixed,Salty
36.0,,Light,Temperate,Asian,Sweet
32.0,Early Bird,Heavy,Tropical,Asian,Sweet
,,Light,Cold,Mediterranean,Sour
,Early Bird,Moderate,,Asian,Sweet
25.0,Night Owl,Moderate,Temperate,Mixed,Sweet
60.0,Early Bird,Moderate,Tropical,Mixed,Sour
26.0,Irregular,Heavy,Tropical,Mixed,Sweet
64.0,Night Owl,Moderate,Cold,Mediterranean,Sour
50.0,Night Owl,Moderate,Temperate,Mediterranean,Sour
50.0,Night Owl,Heavy,Dry,Asian,Sweet
36.0,Night Owl,Moderate,Temperate,Mixed,Sour
20.0,Irregular,Moderate,Temperate,Mediterranean,Sour
27.0,Irregular,Heavy,Dry,Mediterranean,Sour
57.0,Early Bird,Light,Tropical,,Sweet
,Night Owl,Moderate,Cold,Mixed,Sour
59.0,Early Bird,Light,Tropical,Mixed,Sweet
18.0,Irregular,Heavy,Tropical,Asian,Sweet
46.0,Night Owl,,Dry,Asian,Sweet
67.0,Irregular,Moderate,Dry,Asian,Sour
,Early Bird,Heavy,Tropical,Asian,Sweet
68.0,Irregular,,Temperate,Mixed,Salty
30.0,Night Owl,Light,Cold,Mixed,Sweet
18.0,,Light,Temperate,Asian,Spicy
51.0,Early Bird,,Tropical,Mediterranean,Sour
46.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
65.0,Irregular,Moderate,Cold,Mixed,Salty
64.0,Irregular,Heavy,Temperate,Mixed,Salty
30.0,Irregular,Light,Tropical,Asian,Spicy
65.0,Irregular,Light,Tropical,Mediterranean,Sweet
66.0,Early Bird,Heavy,Dry,Mixed,Salty
46.0,Irregular,Moderate,Cold,,Salty
56.0,Early Bird,Light,Dry,Asian,Sweet
41.0,Irregular,Moderate,Dry,Mixed,Salty
,Early Bird,Light,Dry,Mixed,Sour
34.0,Irregular,Moderate,Tropical,Mediterranean,Sour
24.0,Irregular,Light,Temperate,Mediterranean,Sweet
30.0,Early Bird,,Dry,Mixed,Sour
22.0,Night Owl,Heavy,Temperate,Mediterranean,Sweet
43.0,Night Owl,Light,Tropical,Mediterranean,Sweet
66.0,Night Owl,Heavy,Dry,Asian,Sweet
20.0,Early Bird,Light,Tropical,,Sweet
24.0,Night Owl,Light,Dry,Mixed,Sweet
66.0,Night Owl,Light,Dry,Asian,Sweet
56.0,Early Bird,Moderate,Tropical,Mixed,Sour
18.0,Night Owl,Light,Cold,Asian,Spicy
66.0,Night Owl,Heavy,Cold,Asian,Sweet
34.0,Night Owl,Moderate,Temperate,Mediterranean,Sour
60.0,Early Bird,Moderate,Temperate,Mediterranean,Salty
42.0,Early Bird,Light,Tropical,Mixed,Sweet
20.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
,,Light,Tropical,Asian,Spicy
46.0,Early Bird,Heavy,,Mediterranean,Salty
60.0,Night Owl,Moderate,Cold,Mixed,Sour
49.0,Early Bird,Moderate,Dry,Asian,Sour
,Night Owl,Heavy,,Mixed,Sour
,Early Bird,Heavy,,Mediterranean,Sour
42.0,Irregular,Light,Tropical,Asian,Sweet
45.0,Irregular,Moderate,Temperate,Mixed,Salty
,Early Bird,Heavy,Cold,Mediterranean,Sour
18.0,Irregular,Moderate,Tropical,Mediterranean,Sweet
46.0,Night Owl,Heavy,Cold,Mixed,Sour
39.0,Early Bird,Moderate,Tropical,Asian,Sweet
33.0,Early Bird,,Dry,Mixed,Salty
58.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
68.0,Night Owl,Light,,Mixed,Sweet
61.0,Early Bird,Moderate,Temperate,Mediterranean,Salty
68.0,,Light,Temperate,Asian,Sweet
58.0,Early Bird,Light,Temperate,Mixed,Sour
24.0,Night Owl,Light,Tropical,Asian,Spicy
31.0,Early Bird,Moderate,Temperate,Mixed,Salty
46.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
36.0,Night Owl,Light,Cold,Asian,Sweet
36.0,Irregular,Heavy,Dry,Mediterranean,Salty
19.0,Irregular,Moderate,Cold,Mixed,Sour
58.0,Irregular,Moderate,Tropical,Mediterranean,Sour
62.0,Night Owl,Moderate,Temperate,Mixed,Sour
32.0,Early Bird,Moderate,Dry,Asian,Sour
,Night Owl,Light,Temperate,Mediterranean,Sweet
28.0,Irregular,Heavy,Cold,Mediterranean,Sour
63.0,Night Owl,Heavy,Tropical,Mixed,Sweet
47.0,Irregular,Heavy,Dry,Mixed,Salty
57.0,Irregular,Heavy,Dry,,Salty
35.0,Early Bird,Light,Tropical,Asian,Sweet
68.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
65.0,Irregular,Moderate,Dry,Mixed,Salty
19.0,Irregular,Light,Cold,Mixed,Sweet
49.0,Night Owl,Moderate,Cold,Mediterranean,Sour
25.0,Irregular,Light,Temperate,Asian,Sweet
39.0,Night Owl,Heavy,Dry,Mediterranean,Sour
23.0,Irregular,Light,Tropical,,Sweet
29.0,Early Bird,Moderate,Tropical,Mediterranean,Sweet
64.0,,Moderate,Tropical,Mixed,Sour
57.0,Irregular,Moderate,Tropical,Mixed,Sour
53.0,Night Owl,Heavy,Dry,Mediterranean,Sour
32.0,,Light,Cold,Mediterranean,Sweet
45.0,Night Owl,Light,Temperate,Asian,Sweet
69.0,Irregular,Moderate,Cold,Mixed,Salty
,Irregular,Light,Temperate,Mixed,Sour
62.0,Early Bird,Moderate,Tropical,Mixed,Sour
35.0,Early Bird,Light,Tropical,Mixed,Sweet
,,Heavy,Dry,Mixed,Sour
30.0,Early Bird,Heavy,Tropical,Mediterranean,Sweet
62.0,,Light,Dry,Mixed,Sweet
32.0,Night Owl,Heavy,Dry,Mediterranean,Sour
37.0,Irregular,,Dry,Asian,Sour
46.0,Night Owl,Heavy,Tropical,Mixed,Sweet
59.0,Irregular,Moderate,Tropical,Asian,Sweet
46.0,Night Owl,Light,,,Sweet
20.0,Irregular,Light,Temperate,Mediterranean,Sweet
36.0,Night Owl,Moderate,Cold,Asian,Sweet
20.0,Night Owl,Moderate,Tropical,,Sweet
31.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
57.0,Early Bird,Light,Dry,Mediterranean,Sour
21.0,Early Bird,Moderate,Temperate,Mediterranean,Sour
,Early Bird,,Dry,Mediterranean,Salty
28.0,Early Bird,,Tropical,Mediterranean,Sweet
48.0,Early Bird,,Temperate,Mediterranean,Salty
60.0,Irregular,Light,Dry,Asian,Sweet
49.0,Irregular,Heavy,Cold,Mixed,Salty
44.0,Early Bird,,Cold,Mixed,Sour
47.0,Irregular,Light,Dry,Mixed,Sour
,Early Bird,Light,Cold,Mixed,Sour
19.0,,Light,Cold,Asian,Sweet
66.0,Night Owl,Heavy,Temperate,Asian,Sweet
26.0,Irregular,,Cold,Mixed,Sour
45.0,Irregular,Light,Temperate,Mediterranean,Sour
48.0,Irregular,Light,,Mixed,Sweet
51.0,Night Owl,Light,Cold,Mediterranean,Sweet
32.0,Early Bird,Light,Tropical,Mediterranean,Sweet
65.0,Irregular,Heavy,Cold,Asian,Sour
42.0,Irregular,Moderate,Dry,Mediterranean,Salty
53.0,Night Owl,Moderate,Dry,Asian,Sweet
25.0,,Moderate,Tropical,Mixed,Sweet
26.0,,Heavy,Tropical,Asian,Sweet
54.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
65.0,Early Bird,Heavy,Dry,Mediterranean,Salty
62.0,Early Bird,Heavy,Tropical,,Sour
56.0,Irregular,Light,Dry,Mixed,Sour
49.0,Irregular,Heavy,Tropical,Asian,Sweet
69.0,Irregular,Moderate,Temperate,Mixed,Salty
34.0,Irregular,,Temperate,Asian,Sour
,Night Owl,Moderate,Cold,Mixed,Sour
54.0,Night Owl,,Temperate,Mixed,Sweet
,Irregular,Light,Tropical,Mediterranean,Sweet
61.0,Early Bird,Light,Temperate,Mixed,Sour
46.0,Irregular,Heavy,Temperate,Mixed,Salty
24.0,Early Bird,Moderate,Tropical,Asian,Sweet
45.0,Early Bird,Heavy,Temperate,,Salty
26.0,Early Bird,Heavy,Tropical,Mediterranean,Sweet
45.0,Night Owl,Moderate,Temperate,Mixed,Sour
23.0,Early Bird,Light,Tropical,Asian,Spicy
46.0,Early Bird,Moderate,Dry,Asian,Sour
34.0,Night Owl,Heavy,Dry,Mixed,Sour
33.0,Early Bird,Heavy,Cold,Mixed,Salty
40.0,Early Bird,Light,Temperate,Asian,Sweet
48.0,Irregular,Heavy,Cold,Mediterranean,Salty
20.0,Early Bird,Heavy,Tropical,Mixed,Sweet
38.0,Early Bird,Moderate,Dry,Mediterranean,Salty
43.0,,Light,Tropical,Mediterranean,Sweet
53.0,Early Bird,Moderate,Cold,Mixed,Salty
59.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
54.0,Night Owl,Moderate,Tropical,Asian,Sweet
39.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
59.0,Early Bird,Heavy,Tropical,Asian,Sweet
,Night Owl,Light,Dry,Mixed,Sweet
59.0,,Heavy,Tropical,Mediterranean,Sweet
30.0,Early Bird,Light,Tropical,Asian,Spicy
28.0,Early Bird,Moderate,Dry,Asian,Sweet
33.0,Early Bird,Moderate,Tropical,Mixed,Sour
25.0,Irregular,Heavy,Tropical,Mediterranean,Sweet
57.0,Irregular,Heavy,Cold,Asian,Sour
57.0,Early Bird,Light,Dry,Asian,Sweet
62.0,Night Owl,,Temperate,,Sour
19.0,Early Bird,Heavy,Tropical,Mediterranean,Sweet
47.0,Night Owl,Heavy,Cold,Mediterranean,Sour
47.0,Night Owl,Moderate,Dry,Asian,Sweet
29.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
27.0,Early Bird,Heavy,Temperate,Mediterranean,Sour
61.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
28.0,Night Owl,Moderate,Cold,Mediterranean,Sweet
32.0,Irregular,Moderate,Dry,Mediterranean,Salty
33.0,Irregular,Moderate,Cold,Mediterranean,Salty
34.0,Irregular,Heavy,Dry,Mediterranean,Salty
43.0,Night Owl,Heavy,Temperate,Asian,Sweet
,Early Bird,Heavy,,Asian,Sweet
67.0,Night Owl,Light,Cold,Mediterranean,Sweet
29.0,Irregular,Moderate,Temperate,,Sour
68.0,Early Bird,,Temperate,Mixed,Salty
43.0,Night Owl,Heavy,Tropical,Asian,Sweet
40.0,Night Owl,Heavy,Cold,Mixed,Sour
35.0,Irregular,Moderate,Tropical,Asian,Sweet
49.0,Night Owl,Moderate,Tropical,Mixed,Sweet
66.0,,Moderate,Dry,Mixed,Salty
,Irregular,Heavy,Dry,Mixed,Salty
64.0,Irregular,Moderate,Tropical,Asian,Sweet
,Early Bird,Heavy,Dry,Asian,Sweet
55.0,Irregular,Light,Cold,Mediterranean,Sour
20.0,Night Owl,Moderate,Dry,Asian,Sweet
47.0,Night Owl,Moderate,Temperate,Asian,Sweet
18.0,Irregular,,Tropical,Asian,Sweet
47.0,Early Bird,Moderate,Tropical,Asian,Sweet
62.0,Night Owl,Moderate,Cold,Mediterranean,Sour
49.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
45.0,Night Owl,Heavy,Dry,Asian,Sweet
,Night Owl,Heavy,Temperate,Mixed,Sour
63.0,Irregular,Light,Tropical,Mixed,Sweet
30.0,Irregular,Heavy,Dry,Asian,Sweet
44.0,Early Bird,Moderate,Temperate,Mediterranean,Salty
,Irregular,Light,Tropical,Mixed,Sweet
24.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
39.0,Night Owl,,Tropical,Mediterranean,Sweet
27.0,Early Bird,Light,Temperate,Mixed,Sweet
56.0,Early Bird,Moderate,Tropical,Asian,Sweet
32.0,,,Tropical,Mediterranean,Sweet
32.0,Irregular,Heavy,Dry,Mixed,Salty
21.0,Irregular,Light,Dry,Mediterranean,Sweet
49.0,Early Bird,,Dry,Mixed,Sour
40.0,Early Bird,Moderate,Dry,,Sour
23.0,Night Owl,Moderate,,Asian,Spicy
41.0,Night Owl,Heavy,Temperate,Asian,Sweet
37.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
54.0,Night Owl,Heavy,Cold,Asian,Sweet
37.0,,Heavy,Temperate,Asian,Sour
29.0,Early Bird,Moderate,,Asian,Sweet
50.0,Irregular,Light,Tropical,Asian,Sweet
45.0,,Moderate,Temperate,Mixed,Salty
25.0,Night Owl,,Temperate,Mixed,Sweet
18.0,Irregular,Light,Dry,Mediterranean,Sweet
54.0,Irregular,Heavy,Tropical,Mixed,Sour
39.0,Night Owl,Heavy,,Mixed,Sour
23.0,Night Owl,Moderate,Temperate,Mixed,Sweet
38.0,Night Owl,Light,Temperate,Mixed,Sweet
49.0,Early Bird,Moderate,Dry,Mixed,Salty
52.0,Irregular,Heavy,Temperate,Asian,Sour
32.0,Early Bird,Light,Dry,Mediterranean,Sour
22.0,Early Bird,Moderate,Temperate,Mixed,Sour
63.0,Early Bird,,Temperate,Mixed,Salty
,Early Bird,Heavy,Tropical,Mediterranean,Sour
65.0,Irregular,Heavy,Temperate,Mixed,Salty
,Irregular,Heavy,Dry,Mixed,Sour
42.0,Early Bird,Heavy,Dry,Mediterranean,Salty
63.0,Night Owl,Moderate,Dry,Asian,Sweet
,Irregular,Heavy,Cold,Asian,Sour
46.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
,Night Owl,Moderate,Tropical,Asian,Spicy
57.0,Night Owl,Moderate,Tropical,Asian,Sweet
30.0,Early Bird,Light,Cold,Asian,Sweet
55.0,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Light,Dry,Mixed,Sweet
19.0,Irregular,Heavy,Cold,Mediterranean,Sour
25.0,Irregular,Light,Cold,Asian,Sweet
28.0,Night Owl,Light,Dry,,Spicy
50.0,Early Bird,Heavy,Cold,Mediterranean,Salty
,Night Owl,Heavy,Cold,Mixed,Sour
65.0,Night Owl,Heavy,Dry,Asian,Sweet
44.0,Irregular,Light,Temperate,Asian,Sweet
37.0,Early Bird,Moderate,Tropical,Mixed,Sour
29.0,Irregular,Moderate,Tropical,Mediterranean,Sweet
60.0,Night Owl,Moderate,Dry,Asian,Sweet
48.0,Early Bird,Heavy,Dry,Asian,Sour
44.0,Early Bird,,,Mediterranean,Salty
49.0,Early Bird,Moderate,Cold,,Salty
27.0,Early Bird,Heavy,Temperate,Mediterranean,Sour
20.0,Early Bird,Light,Cold,,Sweet
62.0,Night Owl,Light,Cold,Mixed,Sweet
44.0,Night Owl,Heavy,Temperate,Mixed,Sour
52.0,Night Owl,,Dry,Mixed,Sour
48.0,Irregular,Moderate,Dry,Mediterranean,Salty
32.0,Early Bird,Light,Temperate,Mediterranean,Sour
33.0,Early Bird,Heavy,Cold,Mediterranean,Salty
30.0,Night Owl,Moderate,Cold,Asian,Sweet
66.0,,Moderate,Cold,Mediterranean,Salty
,Irregular,Heavy,Cold,Mixed,Salty
69.0,,Heavy,Temperate,Asian,Sour
28.0,Early Bird,Moderate,Tropical,Asian,Sweet
38.0,Irregular,Heavy,,Asian,Sour
68.0,Night Owl,Heavy,Dry,Mixed,Sour
28.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
47.0,Early Bird,Moderate,Cold,Mixed,Salty
65.0,Irregular,Light,Tropical,Mediterranean,Sweet
52.0,Night Owl,Heavy,Tropical,Asian,Sweet
39.0,Night Owl,Moderate,Tropical,Asian,Sweet
55.0,Night Owl,Light,Dry,Mixed,Sweet
48.0,Early Bird,Moderate,Dry,Mediterranean,Salty
31.0,Irregular,Moderate,Tropical,Asian,Sweet
41.0,Early Bird,Moderate,Tropical,Mixed,Sour
67.0,Night Owl,Light,Tropical,Mixed,Sweet
66.0,Irregular,Moderate,Cold,Mediterranean,Salty
49.0,Early Bird,Light,Cold,Mediterranean,Sour
53.0,Night Owl,Heavy,,Mediterranean,Sour
49.0,Night Owl,Light,,Asian,Sweet
32.0,Early Bird,,Temperate,Mixed,Salty
60.0,Night Owl,Light,Tropical,Mediterranean,Sweet
,Night Owl,Moderate,Tropical,Mixed,Sweet
,Irregular,Heavy,Temperate,Asian,Sweet
33.0,Night Owl,Light,Tropical,Asian,Spicy
22.0,Early Bird,Heavy,Cold,Mediterranean,Sour
38.0,Irregular,Light,Cold,Asian,Sweet
27.0,Early Bird,Moderate,Temperate,Mixed,Sour
36.0,Night Owl,Light,Cold,Mixed,Sweet
42.0,Irregular,Heavy,Temperate,Asian,Sour
21.0,Irregular,Light,Cold,Asian,Sweet
46.0,Irregular,Heavy,Tropical,Asian,Sweet
36.0,Irregular,Heavy,Dry,,Salty
60.0,Early Bird,Moderate,Cold,Asian,Sour
19.0,Night Owl,Light,Temperate,Mediterranean,Sweet
27.0,Night Owl,,Dry,,Sweet
60.0,Irregular,Moderate,Tropical,,Sour
,Night Owl,Moderate,Dry,Asian,Sweet
37.0,Early Bird,Moderate,Temperate,Asian,Sour
65.0,Night Owl,Heavy,Tropical,Asian,Sweet
36.0,Early Bird,Light,Tropical,Mediterranean,Sweet
40.0,Early Bird,Heavy,Cold,Mediterranean,Salty
41.0,Night Owl,Moderate,Dry,Mediterranean,Sour
28.0,Early Bird,Heavy,Cold,Mediterranean,Sour
63.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
,Early Bird,Moderate,Cold,Mixed,Salty
45.0,Early Bird,,Cold,Mixed,Sour
22.0,Irregular,Moderate,Temperate,Asian,Sweet
22.0,Night Owl,Moderate,Cold,Asian,Sweet
68.0,Irregular,Heavy,Tropical,Mediterranean,Sour
38.0,Early Bird,Moderate,Cold,Asian,Sour
29.0,Night Owl,Heavy,,Mixed,Sweet
67.0,Early Bird,Moderate,Tropical,Mixed,Sour
21.0,Night Owl,Moderate,Temperate,Asian,Sweet
66.0,Irregular,Light,Tropical,Mediterranean,Sweet
59.0,Night Owl,Moderate,Tropical,Mixed,Sweet
,Early Bird,Light,Temperate,Asian,Sweet
55.0,,Moderate,Tropical,Mediterranean,Sweet
42.0,Night Owl,Moderate,Temperate,Asian,Sweet
31.0,Irregular,Moderate,Dry,Mediterranean,Salty
,Early Bird,Light,Dry,,Sweet
49.0,Night Owl,Heavy,,Mixed,Sour
28.0,Irregular,Light,Tropical,Mixed,Sweet
35.0,Night Owl,Moderate,Cold,Asian,Sweet
44.0,Early Bird,Heavy,Temperate,Asian,Sour
35.0,Night Owl,Moderate,Dry,Mediterranean,Sour
40.0,,Light,Temperate,Mixed,Sweet
28.0,Night Owl,Light,Dry,Mediterranean,Sweet
,Night Owl,Heavy,Dry,Mediterranean,Sour
61.0,Early Bird,Light,Tropical,Mediterranean,Sweet
22.0,Irregular,Moderate,Temperate,Mediterranean,Sour
40.0,Irregular,Heavy,Tropical,Mediterranean,Sour
,Night Owl,Moderate,,Mediterranean,Sour
,Early Bird,Heavy,Temperate,Asian,Sour
58.0,Early Bird,Heavy,Cold,Mixed,Salty
27.0,Early Bird,Moderate,,Mixed,Sour
39.0,Early Bird,Light,Tropical,Mediterranean,Sweet
,Early Bird,Moderate,Cold,Mediterranean,Salty
18.0,Early Bird,Light,Temperate,,Sweet
24.0,Night Owl,Light,Dry,Mixed,Sweet
21.0,Irregular,Moderate,Tropical,Mixed,Sweet
18.0,Irregular,Heavy,Cold,Mediterranean,Sour
32.0,Night Owl,Moderate,Temperate,Mixed,Sour
57.0,Irregular,Heavy,Cold,Mediterranean,Salty
29.0,,Light,Temperate,Mediterranean,Sweet
,Early Bird,Heavy,Temperate,Mediterranean,Salty
39.0,Irregular,Moderate,Dry,Asian,Sour
67.0,Early Bird,Heavy,Tropical,Mixed,Sour
64.0,Early Bird,,Dry,Mixed,Sour
,Irregular,Light,Tropical,Mixed,Sweet
,,Heavy,,Mediterranean,Sweet
63.0,Irregular,Light,Temperate,Asian,Sweet
31.0,,Light,Cold,Mediterranean,Sour
67.0,Irregular,Heavy,Tropical,Mediterranean,Sour
37.0,Irregular,Light,Tropical,Mediterranean,Sweet
67.0,Night Owl,Heavy,Tropical,Asian,Sweet
65.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
50.0,Early Bird,Light,Temperate,Mediterranean,Sour
60.0,Early Bird,Heavy,Dry,Asian,Sour
32.0,Irregular,Light,Cold,Mediterranean,Sour
29.0,Early Bird,Light,Temperate,Mediterranean,Sweet
57.0,Night Owl,Light,Temperate,Mixed,Sweet
,Early Bird,Moderate,Temperate,Asian,Sour
47.0,Early Bird,Light,Tropical,Mixed,Sweet
55.0,Early Bird,Heavy,Cold,Mediterranean,Salty
20.0,Irregular,Heavy,Temperate,Asian,Sweet
45.0,Early Bird,Heavy,,Asian,Sour
43.0,Night Owl,Moderate,,Mediterranean,Sour
47.0,Night Owl,Moderate,Tropical,Mixed,Sweet
30.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
30.0,Night Owl,Heavy,Temperate,Asian,Sweet
19.0,,,Tropical,,Sweet
54.0,Irregular,Heavy,Cold,Mediterranean,Salty
66.0,Night Owl,Light,Tropical,Mediterranean,Sweet
55.0,Night Owl,,Temperate,Mediterranean,Sweet
19.0,Irregular,Heavy,Cold,Mediterranean,Sour
53.0,Irregular,Light,Tropical,Mixed,Sweet
43.0,Night Owl,Heavy,Temperate,Mixed,Sour
28.0,Night Owl,Moderate,Dry,Mixed,Sweet
25.0,Irregular,Heavy,,Mixed,Sour
,Night Owl,Moderate,Cold,Asian,Sweet
57.0,Night Owl,Light,Cold,Asian,Sweet
,Early Bird,Light,Cold,Mixed,Sour
39.0,Irregular,Light,Tropical,Mediterranean,Sweet
37.0,Early Bird,Heavy,Cold,Asian,Sour
25.0,Early Bird,Moderate,Tropical,Mediterranean,Sweet
46.0,Irregular,Moderate,Temperate,Mixed,Salty
,Early Bird,Light,Tropical,Asian,Sweet
43.0,Night Owl,Light,Tropical,Asian,Spicy
47.0,Early Bird,Moderate,Temperate,Asian,Sour
34.0,Irregular,Heavy,Dry,Asian,Sour
,Night Owl,Light,Tropical,Mixed,Sweet
69.0,,Heavy,Tropical,Asian,Sweet
33.0,Night Owl,Light,Temperate,Mixed,Sweet
63.0,Night Owl,Light,Cold,Asian,Sweet
60.0,Early Bird,Heavy,Temperate,Mixed,Salty
24.0,Early Bird,Heavy,Dry,Mixed,Sour
33.0,Night Owl,Heavy,Cold,Mediterranean,Sour
62.0,Irregular,,Dry,Mixed,Salty
64.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
65.0,Early Bird,Moderate,Dry,Asian,Sour
44.0,Night Owl,Light,Dry,Mediterranean,Sweet
40.0,Early Bird,Light,Temperate,Mixed,Sour
41.0,,Light,Cold,,Sweet
26.0,Irregular,Moderate,Tropical,Asian,Sweet
52.0,Night Owl,Heavy,,Mediterranean,Sweet
68.0,Irregular,Light,Tropical,,Sweet
37.0,,Moderate,Cold,Mixed,Salty
54.0,Night Owl,Light,Cold,Asian,Sweet
59.0,Irregular,Moderate,Dry,Asian,Sour
34.0,Irregular,Heavy,Dry,Mediterranean,Salty
64.0,Early Bird,Moderate,Cold,Asian,Sour
,Early Bird,Heavy,Tropical,Mixed,Sour
25.0,Irregular,Light,,Mediterranean,Sweet
32.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
48.0,Irregular,Moderate,Cold,Mediterranean,Salty
47.0,Night Owl,Light,Cold,Mediterranean,Sweet
63.0,Early Bird,Light,Tropical,Asian,Sweet
37.0,Night Owl,Moderate,Dry,Mediterranean,Sour
56.0,Irregular,Heavy,Temperate,Mediterranean,Salty
29.0,Irregular,Moderate,Temperate,Mediterranean,Sour
66.0,Irregular,Heavy,Temperate,Mixed,Salty
34.0,Irregular,Heavy,Cold,Mixed,Salty
59.0,Irregular,Light,Tropical,Asian,Sweet
47.0,Night Owl,Heavy,Cold,Mixed,Sour
,Irregular,Light,Dry,,Sour
36.0,Early Bird,Moderate,Tropical,Asian,Sweet
63.0,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Light,Cold,Mediterranean,Sweet
51.0,Irregular,Light,Tropical,Mediterranean,Sweet
67.0,Irregular,Heavy,Cold,Asian,Sour
24.0,Night Owl,Light,Tropical,Mediterranean,Spicy
61.0,Irregular,Moderate,Temperate,Mediterranean,Salty
51.0,Night Owl,Light,Dry,Mediterranean,Sweet
37.0,Irregular,Light,Dry,Asian,Sweet
67.0,Early Bird,Light,,Mixed,Sour
55.0,Irregular,,Temperate,,Salty
41.0,Night Owl,Light,Cold,Asian,Sweet
27.0,Early Bird,Heavy,Cold,Asian,Sweet
49.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
69.0,Irregular,Light,Tropical,Asian,Sweet
,Early Bird,Heavy,Tropical,Asian,Sweet
54.0,Night Owl,,Temperate,Asian,Sweet
37.0,Early Bird,Moderate,Temperate,Asian,Sour
20.0,Early Bird,Moderate,Cold,Mediterranean,Sour
54.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
57.0,Early Bird,Moderate,Temperate,Asian,Sour
25.0,Night Owl,Light,Cold,Asian,Spicy
,Early Bird,Heavy,Temperate,Mixed,Salty
61.0,,Light,Cold,Mixed,Sour
40.0,Early Bird,,Dry,Asian,Sour
57.0,Irregular,Heavy,Tropical,,Sour
28.0,Irregular,Heavy,Dry,Mixed,Sour
63.0,Night Owl,,Cold,,Sour
25.0,Early Bird,Moderate,Cold,Mediterranean,Sour
46.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
47.0,Irregular,Moderate,Tropical,Mixed,Sour
27.0,Irregular,Heavy,,Asian,Sweet
56.0,Irregular,Moderate,Temperate,Mediterranean,Salty
45.0,Irregular,Heavy,Tropical,Mixed,Sour
66.0,Night Owl,Moderate,Cold,,Sweet
53.0,Early Bird,Heavy,Tropical,Mediterranean,Sour
30.0,Night Owl,Moderate,Tropical,Mixed,Sweet
49.0,Early Bird,Moderate,Dry,Mediterranean,Salty
53.0,Irregular,,Dry,,Salty
54.0,Early Bird,Heavy,,Mediterranean,Salty
